Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Has Biosphere,Discovery Year,Star Name
11 Com b,12.2,115.56,Gas Giant,0,2007,11 Com
11 UMi b,12.3,81.4,Garden World,1,2009,11 UMi
14 And b,13.1,96.02,Dwarf Planet,0,2008,14 And
14 Her b,12.6,63.26,Dwarf Planet,1,2002,14 Her
16 Cyg B b,13.5,63.2,Dwarf Planet,1,1996,16 Cyg
17 Sco b,12.9,60.37,Ice Giant,1,2020,17 Sco
18 Del b,12.5,72.63,Gas Giant,1,2008,18 Del
1RXS J160929.1-210524 b,18.647,55.03,Proto Planet,0,2008,1RXS J160929.1-210524
24 Boo b,13.9,22.6,Chthonian Planet,0,2018,24 Boo
24 Sex b,13.4,2.51,Dwarf Planet,1,2010,24 Sex
24 Sex c,13.9,17.82,Ice Giant,0,2010,24 Sex
2M0437 b,13,83.81,Proto Planet,1,2021,2MASS J04372171+2651014
2MASS J01033563-5515561 AB b,12.3,39.18,Chthonian Planet,0,2013,2MASS J01033563-5515561
2MASS J01225093-2439505 b,11.209,30.55,Ice Giant,1,2013,2MASS J01225093-2439505
2MASS J02192210-3925225 b,16.141,13.2,Dwarf Planet,1,2015,2MASS J02192210-3925225
2MASS J0249-0557 c,12.4,117.6,Chthonian Planet,1,2018,2MASS J0249-0557
2MASS J03590986+2009361 b,12.2,68.21,Garden World,0,2024,2MASS J03590986+2009361
2MASS J04414489+2301513 b,12.6,99.48,Dwarf Planet,0,2010,2MASS J04414489+2301513
2MASS J11011926-7732383 b,11.9,4.95,Chthonian Planet,0,2024,2MASS J11011926-7732383
2MASS J11550485-7919108 b,12.1,85.55,Gas Giant,0,2024,2MASS J11550485-7919108
2MASS J12073346-3932539 b,12.9,40,Proto Planet,0,2004,2MASS J12073346-3932539
2MASS J19383260+4603591 b,13.4,27.75,Ice Giant,1,2015,2MASS J19383260+4603591
2MASS J21252752-8138278 b,12.4,22.78,Gas Giant,0,2024,2MASS J21252752-8138278
2MASS J22362452+4751425 b,12.3,56.16,Proto Planet,1,2016,2MASS J22362452+4751425
30 Ari B b,12.3,87.92,Dwarf Planet,0,2009,30 Ari
4 UMa b,12.6,105.17,Dwarf Planet,1,2006,4 UMa
42 Dra b,13,87.82,Proto Planet,1,2008,42 Dra
47 UMa b,13.2,73.42,Gas Giant,1,1996,47 UMa
47 UMa c,14.2,52.76,Ice Giant,1,2001,47 UMa
47 UMa d,13.5,70.61,Dwarf Planet,0,2009,47 UMa
51 Eri b,13.4,59.54,Dwarf Planet,0,2015,51 Eri
51 Peg b,14.3,120.67,Proto Planet,0,1995,51 Peg
55 Cnc b,13.9,37.79,Dwarf Planet,1,1996,55 Cnc
55 Cnc c,8.51,20.35,Ice Giant,1,2004,55 Cnc
55 Cnc d,13,81.69,Ice Giant,0,2002,55 Cnc
55 Cnc e,1.875,2.78,Dwarf Planet,1,2004,55 Cnc
55 Cnc f,7.59,26.79,Chthonian Planet,0,2007,55 Cnc
6 Lyn b,13.4,84.64,Dwarf Planet,1,2008,6 Lyn
